Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4353,CA,Los Angeles (County),GARDEN GROVE,92841,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDALE,91206,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDORA,91741,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKE HUGHES,93532,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKE VIEW TERRACE,91342,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKEWOOD,90713,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93534,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93535,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93536,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90804,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90805,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90810,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90001,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90002,3,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90008,4,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90013,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90017,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90019,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90024,3,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90025,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90028,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90031,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90033,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90034,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90035,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90037,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90043,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90044,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90047,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90077,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LYNWOOD,90262,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),MONTEBELLO,90640,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HILLS,91343,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HOLLYWOOD,91605,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PACOIMA,91331,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PALMDALE,93550,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PANORAMA CITY,91402,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91101,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91104,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PICO RIVERA,90660,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),POMONA,91766,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),RANCHO PALOS VERDES,90275,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),REDONDO BEACH,90278,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN FERNANDO,91340,1,1,1,0,0,0,1,$249.99 , $-   , $-   ,$250 ,1,0,0,0
4353,CA,Los Angeles (County),SANTA MONICA,90402,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SHADOW HILLS,91040,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SHERMAN OAKS,91423,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SOUTH GATE,90280,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),STUDIO CITY,91604,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SUNLAND,91040,7,6,6,0,0,0,5,"$37,076.12 ", $-   ,"$13,598.00 ","$23,478 ",3,2,0,0
4353,CA,Los Angeles (County),SYLMAR,91342,30,25,23,2,0,0,9,"$52,620.77 ", $-   ,"$25,910.00 ","$26,711 ",8,1,0,0
4353,CA,Los Angeles (County),TARZANA,91356,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),TUJUNGA,91042,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VALENCIA,91355,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VAN NUYS,91401,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VAN NUYS,91405,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VAN NUYS,91406,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VENICE,90291,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),BONSALL,92003,30,22,20,2,0,0,13,"$85,222.69 ", $-   ,"$33,001.92 ","$52,221 ",9,4,0,0
4353,CA,San Diego (County),CARLSBAD,92009,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),CHULA VISTA,91911,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),EL CAJON,92020,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),ENCINITAS,92024,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),ESCONDIDO,92025,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),FALLBROOK,92028,16,12,10,2,0,0,7,"$27,351.26 ", $-   ,"$22,096.00 ","$5,255 ",7,0,0,0
4353,CA,San Diego (County),LAKESIDE,92040,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),OCEANSIDE,92058,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),POWAY,92064,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),RAMONA,92065,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92102,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92107,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92108,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92111,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92113,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92122,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92129,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SAN DIEGO,92154,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,San Diego (County),SOLANA BEACH,92075,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),BUELLTON,93427,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),CARPINTERIA,93013,98,30,26,3,1,0,14,"$95,417.50 ", $-   ,"$38,268.00 ","$57,150 ",10,4,0,0
4353,CA,Santa Barbara (County),GOLETA,93117,20,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),LOMPOC,93436,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),MONTECITO,93103,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),MONTECITO,93108,95,41,27,13,1,0,27,"$75,184.75 ", $-   ,"$60,021.51 ","$15,163 ",26,1,0,0
4353,CA,Santa Barbara (County),OXNARD,93035,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SAN DIEGO,92101,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93101,68,12,10,2,0,0,5,"$8,996.86 ", $-   ,"$8,465.00 ",$532 ,5,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93103,42,13,12,1,0,0,2,"$3,848.02 ", $-   ,"$2,594.00 ","$1,254 ",2,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93105,35,7,7,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93107,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93108,385,200,140,54,6,0,134,"$467,353.77 ", $-   ,"$356,488.97 ","$110,865 ",127,7,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93109,8,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93110,17,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93111,10,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SANTA BARBARA,93150,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SOLVANG,93463,6,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),SUMMERLAND,93067,19,5,4,1,0,0,3,"$4,090.99 ", $-   ,"$3,891.00 ",$200 ,3,0,0,0
4353,CA,Santa Barbara (County),VENTURA,93001,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Santa Barbara (County),VENTURA,93004,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),CAMARILLO,93010,3,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),CAMARILLO,93012,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),CARPINTERIA,93013,2,2,2,0,0,0,2,"$19,174.00 ", $-   ,"$19,174.00 ",$0 ,1,1,0,0
4353,CA,Ventura (County),FILLMORE,93015,4,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),MOORPARK,93021,1,1,1,0,0,0,1,"$2,616.00 ", $-   ,"$2,616.00 ",$0 ,1,0,0,0
4353,CA,Ventura (County),OAK VIEW,93022,10,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),OJAI,93023,137,73,70,3,0,0,46,"$238,328.03 ", $-   ,"$138,899.66 ","$99,428 ",42,3,1,0
4353,CA,Ventura (County),OXNARD,93030,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),OXNARD,93033,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),OXNARD,93035,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),OXNARD,93036,4,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),PORT HUENEME,93041,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),SANTA PAULA,93060,68,47,46,1,0,0,39,"$240,317.92 ", $-   ,"$134,752.12 ","$105,566 ",31,7,1,0
4353,CA,Ventura (County),SIMI VALLEY,93063,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),SIMI VALLEY,93065,2,1,1,0,0,0,1,$550.77 , $-   , $-   ,$551 ,1,0,0,0
4353,CA,Ventura (County),THOUSAND OAKS,91362,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),VALLEJO,94592,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Ventura (County),VENTURA,93001,245,138,130,7,1,0,82,"$330,491.18 ", $-   ,"$227,302.64 ","$103,189 ",77,5,0,0
4353,CA,Ventura (County),VENTURA,93003,125,70,62,8,0,0,48,"$266,520.27 ", $-   ,"$193,700.05 ","$72,820 ",40,8,0,0
4353,CA,Ventura (County),VENTURA,93004,16,5,5,0,0,0,1,"$1,445.27 ", $-   , $-   ,"$1,445 ",1,0,0,0
4353,CA,Ventura (County),VENTURA,93030,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),BANGOR,95914,12,8,8,0,0,0,9,"$42,762.26 ", $-   ,"$13,626.00 ","$29,136 ",7,2,0,0
4344,CA,Butte (County),BANGOR,95966,1,1,1,0,0,0,1,"$9,083.91 ", $-   ,"$1,570.00 ","$7,514 ",1,0,0,0
4344,CA,Butte (County),BIGGS,95917,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),CHICO,95926,22,6,6,0,0,0,2,"$1,000.00 ", $-   , $-   ,"$1,000 ",2,0,0,0
4344,CA,Butte (County),CHICO,95928,17,5,5,0,0,0,1,$500.00 , $-   , $-   ,$500 ,1,0,0,0
4344,CA,Butte (County),CHICO,95973,6,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),DURHAM,95938,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),FOREST RANCH,95942,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),MAGALIA,95954,4,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),OROVILLE,95965,6,2,2,0,0,0,2,"$18,182.36 ", $-   ,"$5,772.00 ","$12,410 ",1,1,0,0
4344,CA,Butte (County),OROVILLE,95966,13,7,7,0,0,0,1,$500.00 , $-   , $-   ,$500 ,1,0,0,0
4344,CA,Butte (County),PALERMO,95968,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Butte (County),PARADISE,95969,15,5,5,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),CLEARLAKE,95422,179,109,108,1,0,0,40,"$225,113.71 ", $-   ,"$42,966.65 ","$182,147 ",31,9,0,0
4344,CA,Lake (County),CLEARLAKE CA,95422,1,1,1,0,0,0,1,"$1,410.00 ", $-   ,"$1,410.00 ",$0 ,1,0,0,0
4344,CA,Lake (County),CLEARLAKE OAKS,95423,9,3,3,0,0,0,1,"$3,055.55 ", $-   , $-   ,"$3,056 ",1,0,0,0
4344,CA,Lake (County),CLEARLAKE PARK,95424,12,9,9,0,0,0,4,"$25,053.09 ", $-   ,"$6,058.00 ","$18,995 ",4,0,0,0
4344,CA,Lake (County),COBB,95426,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),HIDDEN VALLEY LAKE,95467,11,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),KELSEYVILLE,95451,11,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),LAKEPORT,95453,7,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),LOWER LAKE,95457,5,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),LUCERNE,95458,5,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),MIDDLETOWN,95461,7,2,2,0,0,0,1,$500.00 , $-   , $-   ,$500 ,1,0,0,0
4344,CA,Lake (County),NICE,95464,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Lake (County),UPPER LAKE,95485,4,2,2,0,0,0,1,$500.00 , $-   , $-   ,$500 ,1,0,0,0
4344,CA,Mendocino (County),ALBION,95410,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),BOONVILLE,95415,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),COVELO,95428,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),FORT BRAGG,95437,9,6,6,0,0,0,1,$500.00 , $-   , $-   ,$500 ,1,0,0,0
4344,CA,Mendocino (County),LITTLE RIVER,95456,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),MENDOCINO,95460,12,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),POTTER CALLEY,95469,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4344,CA,Mendocino (County),POTTER VALLEY,95469,47,14,14,0,0,0,8,"$33,032.55 ", $-   ,"$15,876.00 ","$17,157 ",7,1,0,0
4344,CA,Mendocino (County),POTTERVALLEY,95469,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
